heavy,n_obs,left_t,Weibull-D,Weibull-I,exp,log normal
False,100,1,0.658,0.031,0.102,0.327
False,100,2,0.603,0.027,0.08,0.387
False,100,3,0.525,0.023,0.067,0.354
False,300,1,0.732,0.252,0.359,0.714
False,300,2,0.694,0.216,0.345,0.745
False,300,3,0.682,0.199,0.289,0.727
False,500,1,0.755,0.507,0.632,0.811
False,500,2,0.733,0.553,0.586,0.826
False,500,3,0.695,0.488,0.533,0.82
True,100,1,0.216,0.001,0.005,0.056
True,100,2,0.2,0.001,0.001,0.059
True,100,3,0.121,0.0,0.001,0.034
True,300,1,0.515,0.005,0.014,0.11
True,300,2,0.498,0.0,0.003,0.1
True,300,3,0.441,0.002,0.0,0.094
True,500,1,0.637,0.015,0.037,0.197
True,500,2,0.671,0.001,0.005,0.166
True,500,3,0.613,0.0,0.002,0.155
